1,2,3
50.0,49.79,32.05
50.0,49.82,32.02
50.0,49.82,32.03
50.0,49.82,32.05
50.0,49.82,32.05
50.0,49.84,32.05
50.0,49.84,32.04
50.0,49.82,32.04
50.0,49.82,32.03
50.0,49.82,32.05
50.0,49.82,32.05
50.0,49.84,32.05
50.0,49.84,32.04
50.0,49.79,32.04
50.0,49.82,32.06
50.0,49.82,32.03
50.0,49.82,32.05
50.0,49.79,32.05
50.0,49.79,32.02
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.82,32.06
50.0,49.79,32.03
50.0,49.79,32.02
50.0,49.79,32.06
50.0,49.82,32.06
50.0,49.79,32.03
50.0,49.79,32.02
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.82,32.06
50.0,49.82,32.03
50.0,49.82,32.05
50.0,49.79,32.05
50.0,49.79,32.02
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.77,32.06
50.0,49.79,32.0
50.0,49.79,32.02
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.77,32.06
50.0,49.77,32.0
50.0,49.77,32.06
50.0,49.79,32.06
50.0,49.79,32.02
50.0,49.79,32.06
50.0,49.77,32.06
50.0,49.77,32.0
50.0,49.77,32.06
50.0,49.77,32.06
50.0,49.77,32.06
50.0,49.77,32.06
50.0,49.77,32.06
50.0,49.77,32.06
50.0,49.77,32.06
50.0,49.77,32.06
50.0,49.77,32.06
50.0,49.77,32.06
50.0,49.77,32.06
50.0,49.77,32.06
50.0,49.77,32.06
50.0,49.77,32.06
50.0,49.77,32.06
50.0,49.79,32.06
50.0,49.79,32.02
50.0,49.77,32.06
50.0,49.77,32.0
50.0,49.77,32.06
50.0,49.77,32.06
50.0,49.74,32.06
50.0,49.74,31.99
50.0,49.74,32.07
50.0,49.74,32.07
50.0,49.74,32.07
50.0,49.74,32.07
50.0,49.77,32.07
50.0,49.77,32.0
50.0,49.74,32.06
50.0,49.74,31.99
50.0,49.74,32.07
50.0,49.74,32.07
50.0,49.74,32.07
50.0,49.77,32.07
50.0,49.74,32.0
50.0,49.74,31.99
50.0,49.74,32.07
50.0,49.74,32.07
50.0,49.74,32.07
50.0,49.79,32.05
50.0,49.82,32.02
50.0,49.82,32.03
50.0,49.82,32.05
50.0,49.82,32.05
50.0,49.84,32.05
50.0,49.84,32.04
50.0,49.82,32.04
50.0,49.82,32.03
50.0,49.82,32.05
50.0,49.82,32.05
50.0,49.84,32.05
50.0,49.84,32.04
50.0,49.79,32.04
50.0,49.82,32.06
50.0,49.82,32.03
50.0,49.82,32.05
50.0,49.79,32.05
50.0,49.79,32.02
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.82,32.06
50.0,49.79,32.03
50.0,49.79,32.02
50.0,49.79,32.06
50.0,49.82,32.06
50.0,49.79,32.03
50.0,49.79,32.02
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.82,32.06
50.0,49.82,32.03
50.0,49.82,32.05
50.0,49.79,32.05
50.0,49.79,32.02
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.77,32.06
50.0,49.79,32.0
50.0,49.79,32.02
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.77,32.06
50.0,49.77,32.0
50.0,49.77,32.06
50.0,49.79,32.06
50.0,49.79,32.02
50.0,49.79,32.06
50.0,49.77,32.06
50.0,49.77,32.0
50.0,49.77,32.06
50.0,49.77,32.06
50.0,49.77,32.06
50.0,49.77,32.06
50.0,49.77,32.06
50.0,49.77,32.06
50.0,49.77,32.06
50.0,49.77,32.06
50.0,49.77,32.06
50.0,49.77,32.06
50.0,49.77,32.06
50.0,49.77,32.06
50.0,49.77,32.06
50.0,49.77,32.06
50.0,49.77,32.06
50.0,49.79,32.06
50.0,49.79,32.02
50.0,49.77,32.06
50.0,49.77,32.0
50.0,49.77,32.06
50.0,49.77,32.06
50.0,49.74,32.06
50.0,49.74,31.99
50.0,49.74,32.07
50.0,49.74,32.07
50.0,49.74,32.07
50.0,49.74,32.07
50.0,49.77,32.07
50.0,49.77,32.0
50.0,49.74,32.06
50.0,49.74,31.99
50.0,49.74,32.07
50.0,49.74,32.07
50.0,49.74,32.07
50.0,49.77,32.07
50.0,49.74,32.0
50.0,49.74,31.99
50.0,49.74,32.07
50.0,49.74,32.07
50.0,49.74,32.07
50.0,49.79,32.05
50.0,49.82,32.02
50.0,49.82,32.03
50.0,49.82,32.05
50.0,49.82,32.05
50.0,49.84,32.05
50.0,49.84,32.04
50.0,49.82,32.04
50.0,49.82,32.03
50.0,49.82,32.05
50.0,49.82,32.05
50.0,49.84,32.05
50.0,49.84,32.04
50.0,49.79,32.04
50.0,49.82,32.06
50.0,49.82,32.03
50.0,49.82,32.05
50.0,49.79,32.05
50.0,49.79,32.02
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.82,32.06
50.0,49.79,32.03
50.0,49.79,32.02
50.0,49.79,32.06
50.0,49.82,32.06
50.0,49.79,32.03
50.0,49.79,32.02
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.82,32.06
50.0,49.82,32.03
50.0,49.82,32.05
50.0,49.79,32.05
50.0,49.79,32.02
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.77,32.06
50.0,49.79,32.0
50.0,49.79,32.02
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
50.0,49.79,32.06
